# control input, output
6.828032219306396922e-01,3.166998923125444176e-01
6.754631805511509546e-01,3.152652037260235685e-01
6.680555934164910115e-01,3.137418802041260779e-01
6.605812012792007248e-01,3.121299937219425558e-01
6.530407515722648215e-01,3.104296537454808158e-01
6.454349983343706798e-01,3.086410072322625098e-01
6.377647021345036471e-01,3.067642386138418886e-01
6.300306299958922107e-01,3.047995697602570164e-01
6.222335553193046875e-01,3.027472599264322550e-01
6.143742578057117543e-01,3.006076056805607744e-01
6.064535233783147072e-01,2.983809408145038367e-01
5.984721441039565493e-01,2.960676362362532621e-01
5.904309181139126839e-01,2.936680998445115320e-01
5.823306495240818670e-01,2.911827763854538120e-01
5.741721483545723093e-01,2.886121472917442810e-01
5.659562304487028017e-01,2.859567305038881457e-01
5.576837173914166446e-01,2.832170802740094362e-01
5.493554364271265866e-01,2.803937869521535564e-01
5.409722203769885551e-01,2.774874767552216737e-01
5.325349075556211620e-01,2.744988115186533517e-01
5.240443416872760940e-01,2.714284884309816626e-01
5.155013718214641605e-01,2.682772397513938922e-01
5.069068522480534300e-01,2.650458325104389501e-01
4.982616424118385678e-01,2.617350681940314172e-01
4.895666068265995263e-01,2.583457824109098855e-01
4.808226149886482559e-01,2.548788445437156214e-01
4.720305412898826436e-01,2.513351573838657482e-01
4.631912649303451812e-01,2.477156567504027462e-01
4.543056698303064578e-01,2.440213110930102569e-01
4.453746445418711453e-01,2.402531210793930061e-01
4.363990821601262948e-01,2.364121191672259037e-01
4.273798802338297786e-01,2.324993691608854551e-01
4.183179406756589724e-01,2.285159657531837252e-01
4.092141696720172916e-01,2.244630340523326439e-01
4.000694775924195090e-01,2.203417290943733842e-01
3.908847788984521898e-01,2.161532353413131435e-01
3.816609920523316712e-01,2.118987661652179944e-01
3.723990394250553115e-01,2.075795633185181510e-01
3.630998472041683245e-01,2.031968963907876125e-01
3.537643453011427019e-01,1.987520622522680469e-01
3.443934672583899848e-01,1.942463844844120324e-01
3.349881501559046626e-01,1.896812127977278439e-01
3.255493345175600184e-01,1.850579224372139731e-01
3.160779642170538084e-01,1.803779135756773677e-01
3.065749863835229294e-01,1.756426106952354294e-01
2.970413513068324018e-01,1.708534619573078006e-01
2.874780123425443867e-01,1.660119385614088339e-01
2.778859258165867763e-01,1.611195340930577924e-01
2.682660509296179163e-01,1.561777638611286656e-01
2.586193496611108311e-01,1.511881642249665869e-01
2.489467866731525647e-01,1.461522919116030605e-01
2.392493292139824257e-01,1.410717233234065338e-01
2.295279470212641948e-01,1.359480538365097080e-01
2.197836122251169422e-01,1.307828970903594790e-01
2.100172992508991532e-01,1.255778842687392816e-01
2.002299847217705320e-01,1.203346633726180281e-01
1.904226473610270420e-01,1.150548984851836182e-01
1.805962678942329147e-01,1.097402690294225214e-01
1.707518289511453236e-01,1.043924690186106841e-01
1.608903149674557609e-01,9.901320630008438040e-02
1.510127120863438421e-01,9.360420179266240592e-02
1.411200080598672135e-01,8.816718871809456348e-02
1.312131921501837883e-01,8.270391182691358423e-02
1.212932550306297513e-01,7.721612661907073516e-02
1.113611886866495843e-01,7.170559855973727970e-02
1.014179863166018575e-01,6.617410229065669169e-02
9.146464223243674918e-02,6.062342083743398058e-02
8.150215176026912034e-02,5.505534481315082357e-02
7.153151114084325968e-02,4.947167161869647778e-02
6.155371742991314760e-02,4.387420464020603400e-02
5.156976839853463779e-02,3.826475244399881598e-02
4.158066243329049116e-02,3.264512796941069356e-02
3.158739843645389650e-02,2.701714771991501479e-02
2.159097572609595950e-02,2.138263095292745539e-02
